Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Oceania,,1966,26302.40625,0,3213.900146484375
Oceania,,1967,27104.6875,0,3212.7734375
Oceania,,1968,27920.412109375,0,3299.319091796875
Oceania,,1969,28341.890625,0,3319.958251953125
Oceania,,1970,30314.08984375,0,3613.36279296875
Oceania,,1971,30938.529296875,0,3986.2646484375
Oceania,,1972,31920.828125,0,4047.573486328125
Oceania,,1973,33574.99609375,0,4065.34228515625
Oceania,,1974,34771.828125,0,4368.701171875
Oceania,,1975,34547.70703125,0,4655.74560546875
Oceania,,1976,35663.43359375,0,4329.06884765625
Oceania,,1977,37159.984375,0,4071.03564453125
Oceania,,1978,37459.43359375,0,4289.94189453125
Oceania,,1979,38076.58984375,0,4524.71533203125
Oceania,,1980,37683.6015625,0,4487.0478515625
Oceania,,1981,37625.12890625,0,4509.47119140625
Oceania,,1982,37175.79296875,0,4152.33935546875
Oceania,,1983,35519.953125,0,4173.373046875
Oceania,,1984,36307.1875,0,4318.2880859375
Oceania,,1985,36771.1171875,0,4251.740234375
Oceania,,1986,37021.99609375,0,4476.4228515625
Oceania,,1987,37545.63671875,0,4337.140625
Oceania,,1988,38600.9921875,0,4494.8837890625
Oceania,,1989,39104.796875,0,4430.25634765625
Oceania,,1990,40150.65625,0,4516.7900390625
Oceania,,1991,39306.6875,0,4525.06884765625
Oceania,,1992,39496.9765625,0,4287.6474609375
Oceania,,1993,39569.47265625,0,4535.04736328125
Oceania,,1994,40617.1953125,0,4674.9453125
Oceania,,1995,41836.2421875,0,4738.26611328125
Oceania,,1996,42604.25390625,0,4579.2109375
Oceania,,1997,43289.328125,0,4245.1201171875
Oceania,,1998,43443.5234375,0,4408.31787109375
Oceania,,1999,44709.63671875,0,4200.20166015625
Oceania,,2000,44527.83203125,,4314.619140625
Oceania,,2001,44513.859375,,3933.543701171875
Oceania,,2002,44698.46484375,,4199.63525390625
Oceania,,2003,44530.9140625,,4065.721435546875
Oceania,,2004,45063.13671875,,4398.61767578125
Oceania,,2005,44490.25,,4153.05908203125
Oceania,,2006,45488.57421875,0,4137.779296875
Oceania,,2007,45693.26953125,,4020.48876953125
Oceania,,2008,45741.64453125,,3780.550048828125
Oceania,,2009,43977.11328125,,3989.4052734375
Oceania,,2010,43051.55078125,,4167.9267578125
Oceania,,2011,42933.46875,,4774.73974609375
Oceania,,2012,41872.60546875,,4520.15234375
Oceania,,2013,41407.76171875,,4831.24755859375
Oceania,,2014,41399.91796875,,4699.54052734375
Oceania,,2015,41520.6171875,,4876.98486328125
Oceania,,2016,40703.63671875,,5265.78759765625
Oceania,,2017,40370.22265625,,4935.4521484375
Oceania,,2018,39592.8671875,,5561.53955078125
Oceania,,2019,40272.671875,,5805.630859375
Oceania,,2020,36724.9140625,,6190.634765625
Oceania,,2021,35239.5,,6901.31201171875
Oman,OMN,1965,155.80738830566406,0,0
Oman,OMN,1966,189.812744140625,0,0
